date;landslides
25/02/2010;Cota 200
26/02/2010;Grotão
14/06/2002;Grotão
14/06/2002;Grotão
14/06/2002;Grotão
14/06/2002;Grotão
14/06/2002;Grotão
14/06/2002;Grotão
15/06/2002;Grotão
15/06/2002;Grotão
15/06/2002;Morro do Marzagão
15/06/2002;Morro do Marzagão
15/06/2002;Cota 200
15/06/2002;Cota 200
15/06/2002;Morro do Gonzaga
15/06/2002;Morro do Gonzaga
15/06/2002;Morro do Gonzaga
22/02/2013;Cota 95
22/02/2013;Cota 95
22/02/2013;Cota 200
22/02/2013;Cota 200
22/02/2013;Piloes
23/02/2013;Cota 95
23/02/2013;Cota 95
23/02/2013;Cota 95
23/02/2013;Cota 200
23/02/2013;Piloes
23/02/2013;Piloes
23/02/2013;Mantiqueira
23/02/2013;Sitio dos Queiroz
23/02/2013;Pinheiro do Miranda
24/02/2013;Cota 95
24/02/2013;Cota 200
28/02/2011;Piloes
28/02/2011;Rodovia Anchieta (Km 53)
